GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-appli,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
mon-appli,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
mon-appli,fr.univavignon.pokedex.api,PokemonMetadataProvider,5,0,0,0,3,0,2,0,2,0
mon-appli,fr.univavignon.pokedex.api,Pokedex,110,0,8,0,23,0,12,0,8,0
mon-appli,fr.univavignon.pokedex.api,PokemonMetadata,12,21,0,0,4,8,4,2,4,2
mon-appli,fr.univavignon.pokedex.api,PokemonTrainerFactory,5,0,0,0,2,0,2,0,2,0
mon-appli,fr.univavignon.pokedex.api,PokedexFactory,5,0,0,0,2,0,2,0,2,0
mon-appli,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
mon-appli,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
mon-appli,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
